topicName,subtopic,sub-subgroup,tweet,hashtags,emojis,Date
Art and Entertainment,Movies and TV,TV,"RT @itv2: Rise and shine… the islanders are about to wake up to a big surprise! 😮😮😮 
#LoveIsland starts in 30 mins on @itv2! https://t.co/htknLeevFW",LoveIsland,"open_mouth,open_mouth,open_mouth",30-Jan-15
Art and Entertainment,Music,,RT @Renehofbauer97: @ArianaGrande via Snapchat https://t.co/G5knnVmRxx,,,21-Mar-14
Sports,Formula 1,,RT @FOXSports: .@justinbieber was the first to congratulate @LewisHamilton on winning the Monaco Grand Prix. https://t.co/KghAhq9Wgq #F1 #MonacoGP,"F1,MonacoGP",,22-Oct-13
Art and Entertainment,Music,,"RT @lostinharryarms: My beautiful cousin @giada_zema made this for me! 
I love you so much, please follow me❤️ @Harry_Styles https://t.co/g8nis2qJ2v",,heart,8-Oct-14
Art and Entertainment,Music,,"RT @HarmonizersPT: We're so ready @AllyBrooke @dinahjane97 
@NormaniKordei @camilacabello97 @LaurenJauregui 
#10DaysUntil727 https://t.co/QrLmtTVetM",10DaysUntil727,,23-Oct-12
Art and Entertainment,Music,,Better is on in 3 days and I am so excited @ShawnMendes xxx https://t.co/FCM86jhGj1,,,25-Aug-15
Art and Entertainment,Music,,RT @PuertoRicoPUR: WEPA! @TheTonyAwards for Best Book of a Musical goes to... @Lin_Manuel 🇵🇷 #Ham4Tonys #OrgulloBoricua ¡Felicidades! https://t.co/jdW92Ox3wi,"Ham4Tonys,OrgulloBoricua",,26-Jan-15
Sports,Wrestling,,"RT @JohnCena: Must read, from great folks. #KCCO this IS #HustleLoyaltyRespect https://t.co/5lDTrrcDaF","KCCO,HustleLoyaltyRespect",,11-Mar-13
Art and Entertainment,Music,,@twentyonepilots your music cured my headache,,,12-Aug-15
Sports,Sports News,,"RT @BBCSport: In the next 2 hours we will know who #NIR and #WAL will play in the last 16 of #EURO2016.

https://t.co/ZKPKpNkzbk https://t.co/8YVabkDFmX","NIR,WAL,EURO2016",,10-Nov-14
Sports,Golf,,RT @ollyofficial: Fantastic night @NiallOfficial &amp; @JustinRose99 charity night! Pleasure to be involved! 👍🏻 #HoranandRose 🌹,HoranandRose,"+1,rose",16-Apr-12
Sports,Soccer,,RT @Ibra_official: Time to let the world know. My next destination is @ManUtd https://t.co/DAK7iYlrCq,,,4-Mar-12
Art and Entertainment,Music,,RT @Michael5SOS: a glorious post MSG hug. 😍 @ashtonirwin https://t.co/LSYNKzXhMT,,heart_eyes,17-Feb-15
Sports,Wrestling,,RT @realnerfjoker: Thanks coldsteelknives for my awesome Magazine! So amazing with @steveaustinbsr on the cover! As… https://t.co/K5pUCojLnm,,,5-Dec-12
Sports,Wrestling,,"RT @PodcastOne: On @steveaustinBSR's latest #podcast, @tedfowler361's got 99 problems but a Jack &amp; Coke ain't one! https://t.co/smMnQ9NNSM",podcast,,27-Oct-13
Art and Entertainment,Radio,,RT @teganandsara: Hear the world premiere of Stop Desire at 10am PST with us and @ZaneLowe on @Beats1! https://t.co/4SGf1msVOJ https://t.co/rH37TfDDGs,,,11-Apr-15
Sports,Horse Racing and Equestrian,,@Niall_Breen98 @myracingtips good man! Good luck on the last!,,,25-Aug-15
Art and Entertainment,Music,,RT @TheVampsBrad: Boyz https://t.co/bDXdGhonec,,,13-Feb-14
Art and Entertainment,Music,,"RT @souljaboy: Everybody can't be the boss, play your position.",,,10-Aug-16
Art and Entertainment,,,RT @LouisePentland: My main moves on Bumble are swiping left and eye rolling. I so badly want to make a video about this.,,,31-Jan-12
Sports,Sports News,,"RT @BlueJays: Tonight’s lineup at TEX (8:05pm start), pres by @MajesticOnField
📺: @Sportsnet ONE, @MLBTV
📻: @FAN590
#OurMoment https://t.co/cnjomwGTzA",OurMoment,"tv,radio",5-Feb-12
Sports,Soccer,,RT @GeniusFootball: Learning from the best... https://t.co/tShG3R2TCP,,,13-Feb-14
Art and Entertainment,,,RT @Nashgrier: Still can't believe Hayes is 16 #HappyBirthdayHayes https://t.co/1aJnb4JKxX,HappyBirthdayHayes,,5-Apr-14
Sports,Sports News,,"RT @espn: Too good. Too strong.

The Warriors dominate again to take a 2-0 #NBAFinals lead after a 110-77 rout of the Cavs. https://t.co/z1fgHPcJot",NBAFinals,,4-Mar-13
Art and Entertainment,Social Media,YouTube,@kickthepj look its a bag of coke https://t.co/3wMAnKRceQ,,,24-Mar-14
Sports,Basketball,,"RT @ESPNNBA: Series sweep!

Cavs beat the Pistons 100-98 behind 31 Pts from Kyrie Irving. https://t.co/bTR9c2qwDc",,,25-Feb-12
Sports,Running and Jogging,,RT @UKRunChat: RT and follow @DOMSEaseOil to win a sports and muscle oil in this weekend prize https://t.co/xZDcnF4gfO https://t.co/Pwburr3gVN,,,10-May-15
Art and Entertainment,,,RT @Nashgrier: It's almost time #11Days https://t.co/AcFiua4S4R,11Days,,22-Apr-15
Art and Entertainment,Music,,RT @justinbieber: Miami pop up store opens tomorrow. #PurposeTourMerch https://t.co/xgV1fFSArI,PurposeTourMerch,,13-Jan-12
Sports,Basketball,,Said hi to @jon_greenberg as he walked down ramp @ wrigley. Day made. Only way this @cubs game gets better is with a @NickFriedell sighting.,,,27-Feb-15
Art and Entertainment,Music,,"RT @ArianaGrande: almost 100 milli 👀👀 !! 
https://t.co/IqS2gj0ne9 #IntoYou video by @HANNAHLUXDAVIS  ♡",IntoYou,"eyes,eyes",13-Jun-15
Sports,Golf,,RT @NiallOfficial: Perfect . My partner is @JustinRose99  https://t.co/9UGMDKDjT6,,,24-Sep-15
Sports,Mixed Martial Arts,,"RT @EliasTheodorou: Sorry, got distracted by this guy. #PokemonGO &gt; #UFCSiouxFalls JK Spartan is back! 😂😂😂 https://t.co/jr9jP06Ff5","PokemonGO,UFCSiouxFalls","joy,joy,joy",31-Aug-12
Art and Entertainment,Social Media,,RT @girlposts: THIS LOOKS SO INTENSE I NEED TO SEE IT  https://t.co/MitSCZ3JqO,,,22-Jun-16
Sports,Soccer,,RT @whufc_official: When you wake up and realise it's nearly the weekend... #FridayFeeling https://t.co/LSf9OvRTHx,FridayFeeling,,10-Oct-12
Art and Entertainment,Music,,"Heey @Harry_Styles how are you? I hope it's ok! just I wanted to say I love you, I'm very proud of you and I love your new haircut 22",,,7-Aug-16
Sports,Mixed Martial Arts,,"can't say to where, but I just gave @nickdiaz209 A @LYFT 
YOU WOULDN'T THINK BUT HES SUCH A KIND MAN❣ https://t.co/tMASFrYVs4 follow him
🙉🙈🙊",,"hear_no_evil,see_no_evil,speak_no_evil",1-Jan-12
Sports,Sports News,,RT @AnyGivenWeds: No new AGW tonight but still need a @BillSimmons fix? Check out the Speed Round with @anthonyanderson aka #TastyTony https://t.co/WfKdNEp3OG,TastyTony,,1-May-12
Art and Entertainment,Music,,"@ArianaGrande https://t.co/cdUoJEowBh
A reoccurring event, earth Ice Caps melt removing massive weights squeezing Earth. Age Of Aquarius",,,3-Apr-14
Art and Entertainment,Movies and TV,TV,RT @SleepintheGardn: “@httpambers: @SleepintheGardn #fytbydrt am i meant to know what this means ??”  http://t.co/vSPVpGt5q2,fytbydrt,,26-Oct-13
Art and Entertainment,Music,,RT @britneysgalaxy: My #TeenChoice nominee for #ChoiceFemaleHottie #ChoiceTwit #SocialMediaQueen #ChoiceInstagrammer is @britneyspears https://t.co/LrM47ANlQ4,"TeenChoice,ChoiceFemaleHottie,ChoiceTwit,SocialMediaQueen,ChoiceInstagrammer",,22-Oct-15
Sports,Ice Hockey,,RT @NHLonNBCSports: CAN'T WAIT FOR TONIGHT! #StanleyCup https://t.co/JLZFzID34b,StanleyCup,,4-Jun-15
Sports,Baseball,,"RT @VandyBaseball: 4-2 Florida, 3 runs in so far in the 7th.",,,8-Jul-13
Art and Entertainment,Music,,@1future Dirty Spite Legendary,,,1-Aug-13
Art and Entertainment,Movies and TV,TV,RT @TheRock: Yes ma'am. Tomorrow night we ball. Enjoy the show! #ballers 10pm @HBO  https://t.co/LR9EdinSXq,ballers,,26-Jan-13
Sports,Basketball,,RT @NBATV: Sliding into Game 6 like...https://t.co/9rQU7BYkqp,,,27-Jul-15
Art and Entertainment,Music,,@tompeterodell new drawing coming out soon ✍🏻😂 https://t.co/Mnx0po46qy,,joy,20-Oct-14
Sports,Basketball,,RT @NBAonTNT: .@warriors up BIG at halftime. #NBAPlayoffs https://t.co/dUBghT0Sov,NBAPlayoffs,,15-Sep-12
Sports,Wrestling,,RT @WWE: .@SashaBanksWWE gets a BOSS MAKEOVER!!! #TheECShow @WWENetwork https://t.co/UBTDXlsCHj,TheECShow,,27-Dec-14
Sports,Baseball,,So excited to hear Ryan Braun and Will Smith are coming back in the lineup! Whomp!!! Whoop! #goBrew #STLvsMIL @Brewers @White_Willy13 💛⚾️💙,"goBrew,STLvsMIL","yellow_heart,baseball,blue_heart",5-Dec-14
Art and Entertainment,Music,,RT @ParisHilton: Today is the 10 year anniversary of my song #TurnitUp which was #1 on the @Billboard Music Charts. Love this track 🔥 https://t.co/Vdtn5jHGLH,TurnitUp,fire,24-Jul-12
Art and Entertainment,Music,,.@Tinashe @zaynmalik @yayshplz &amp; More Star On This Week's #MusicMonday Playlist! (LISTEN) https://t.co/g4P6abiTjH https://t.co/vxqWHp2obd,MusicMonday,,17-Dec-14
Art and Entertainment,Performing Arts,Theatre,"RT @finborough: If you don't have time to object formally to the proposed Finborough redevelopment, please sign our quick petition https://t.co/AzjDBalyMW",,,12-Jun-16
Sports,Basketball,,@adidasHoops Did you guys ever make a Charles Barkley Phoenix Suns hardwood classics jersey..?? I've been searching for one for months.,,,28-Aug-15
Sports,Ice Hockey,,"RT @SanJoseSharks: Empty netter, 6-3!! YESSSSS. https://t.co/cHuHwuvTxf",,,12-Dec-12
Art and Entertainment,Books and Literature,Fiction,RT @HogwartsLogic: I think my favourite thing about this generation is how seriously everyone takes their Hogwarts House,,,2-Apr-12
Sports,Soccer,,Let's go England  #ENGSLO @England #EURO2016 https://t.co/j5K1e9kK8h,"ENGSLO,EURO2016",,24-Aug-15
Sports,Soccer,,RT @Louis_Tomlinson: @sandybeales @NiallOfficial @socceraid well you boys better get to know! Get my eye on you Nialler,,,24-Apr-15
Sports,Soccer,,RT @FullTimeDEVILS: Paddy McNair starts for #NIR in their first Euro Championship game - 3 other ex Reds in the side 👍 #EURO2016 #POL https://t.co/TOMutwkehG,"NIR,EURO2016,POL",1,3-Mar-16
Art and Entertainment,Music,,RT @Ashton5SOS: @xclipsedcth respect.,,,31-May-16
Art and Entertainment,Social Media,YouTube,"RT @jccaylen: ,@ownthelight ay my double chins say hi thx vitalee",,,9-Sep-13
Art and Entertainment,,,RT @enews: The Voice family and other stars are mourning the tragic loss of Christina Grimmie https://t.co/3HkhKVYg1x https://t.co/UJMtcEmlbo,,,19-Apr-12
Sports,Soccer,,RT @NJHNEWS: te11: We have arrived in Manchester! @socceraid kicks off tomorrow night at 8pm. #restoftheworld are up for it! https://t.co/0iq9dW5z49,restoftheworld,,28-Oct-13
Sports,Sports News,,RT @guardian: Pakistan hoping to avoid more controversy as England series starts https://t.co/L5R984X7pb via @guardian_sport,,,4-Dec-14
Art and Entertainment,Movies and TV,TV,RT @5HonTour: Fifth Harmony is now featured on @MTV Discover Story https://t.co/JAtSFLoIc8,,,20-May-12
Sports,Wrestling,,RT @wwebalor: @BaronCorbinWWE no matter what EVERYONE always says about you.. I think you are ok @WWEUK @WWENXT  @itsBayleyWWE @ShinsukeN @TripleH,,,3-Nov-12
Art and Entertainment,Music,,RT @Harry_Styles: Just posted a photo https://t.co/w1HXXnxVZM,,,28-Jun-16
Art and Entertainment,,,"RT @TanyaBurr: Can't wait to see my little one tomorrow, I think there might be a cheesecake waiting for me too! https://t.co/cLXQUNFoyD",,,30-Jun-12
Sports,Sports News,,"RT @SkyFootball: Real Madrid have given up on signing #MUFC's David De Gea, says @GuillemBalague: https://t.co/XosYYuRAqJ https://t.co/QWUkVB1Y8v",MUFC,,13-Dec-13
Art and Entertainment,Music,,RT @Louis_Tomlinson: ROOOOOOOONEY,,,4-Nov-12
Sports,Boxing,,"@SkySportsBoxing @ant_crolla Watch Canelo vs Khan Live Stream Free Online HBO Boxing TV Coverage HD.

https://t.co/YDjIPhHfyD",,,12-May-12
Art and Entertainment,Music News,,RT @relatabIeIife: me and my best friend https://t.co/iv2dI4gsD7,,,14-Aug-14
Sports,Soccer,,"RT @SwansOfficial: #OnThisDay in 2011, two goals from @borinifabio29 sees #Swans beat @Official_ITFC 4-1 at the Liberty Stadium. https://t.co/7tGgG1QDKH","OnThisDay,Swans",,26-Jun-16
Art and Entertainment,Comics and Animation,,RT @Dory: he found out his food was made out of animals 😭 https://t.co/THlzf0gAiX,,sob,17-Jul-15
Art and Entertainment,,,RT @camerondallas: I'm about to go to a pole dancing class 😂😂,,"joy,joy",24-Jun-16
Sports,Soccer,,@HoustonDash @CarliLloyd Good luck! Hoping for a speedy recovery!,,,23-Dec-14
Sports,Soccer,,RT @justinbieber: @neymarjr where u at?? Lol,,,31-Mar-15
Art and Entertainment,Social Media,YouTube,RT @markiplier: I'm live with the Game Grumps for CHARITY!! https://t.co/WGHTGovTGN,,,1-Feb-16
Sports,Auto Racing,,"RT @Motorsport: Mercedes baffled by Hamilton's ""freak"" double failure:

https://t.co/yIlkYEVxAM #F1 #RussianGP https://t.co/HMJ6P1IHhh","F1,RussianGP",,27-Mar-13
Sports,Sports News,,@JamesTaylorAG @talkSPORTDrive Exactly both as bad as each other mate.,,,8-May-15
Art and Entertainment,Music,,RT @halsey: I met/took photos with a HUNDREDS of fans tonight after the show. WOW.,,,5-Oct-13
Sports,Basketball,,RT @NBA: The quest for the NBA title continues in 48 hours on ABC! #NBAFinals #AllIn216 #DubNation https://t.co/2Il8Ntexm7,"NBAFinals,AllIn216,DubNation",,26-Jun-16
Sports,Basketball,,RT @nikestore: The Girls' @Jumpman23 Air Jordan 12 'Hyper Violet' arrives tomorrow at 10am ET. Details: https://t.co/bTwYzpd0ly https://t.co/TpRDJiUPqV,,,9-Sep-13
Art and Entertainment,Social Media,YouTube,"@LeafyIsHere @FuturisticHub 
Leafy greens",,,2-Aug-13
Art and Entertainment,Comedy,,RT @_Snape_: Alan Rickman's sophisticated comedy https://t.co/PIaDb4fwj8,,,23-Feb-16
Sports,Tennis,,"RT @Wimbledon: Showman.

@fabiofogna pulled off a classic 'tweener lob en route to beating Federico Delbonis in the first round. https://t.co/1xwcN6ob2e",,,13-Feb-16
Art and Entertainment,Comedy,,RT @BrooksBeau: Live - spare me the details by the offspring 🤘🏼🤘🏼🤘🏼🤘🏼🤘🏼👅👅👅 https://t.co/YZFo8UeqRL,,"tongue,tongue,tongue",22-May-16
Art and Entertainment,,,RT @TheMattEspinosa: HOLY HELL THAT GAME WAS WILD,,,13-Jul-15
Art and Entertainment,Social Media,YouTube,RT @AaronCarpenter: Just tryna have some fun.,,,20-Jun-14
Sports,Sports Apparel,,"RT @roadcc: Beginner's guide to bike tools – the kit you need to do your own basic bike fixing
#cycling
https://t.co/US5vzUFHMe https://t.co/JTNzaXyUT7",cycling,,9-Dec-14
Art and Entertainment,Social Media,YouTube,How to NOT Be a Jerk on the Internet https://t.co/Ekn5UKHaRm via @iisuperwomanii,,,26-Feb-12
Sports,Soccer,,@sossportsphotos @suttonunited @FA great game. Shame about the result. @joeygarginio https://t.co/E2AIFc3HOO,,,4-Jun-14
Sports,Soccer,,RT @premierleague: The Premier League is pleased to announce @TAGHeuer as its first Official Timekeeper and Official Watch supplier https://t.co/1EknNqV2Hj,,,23-Jan-13
Sports,NASCAR,,"RT @NASCAR: Here's one for you: P3 is the highest starting position @TonyStewart has had since @WGI last year.

🤔 🤔 🤔 https://t.co/B3x5vmZgh0",,,27-Oct-12
Sports,Soccer,,"RT @EPLBible: Last night, Ezequiel Lavezzi broke his elbow after falling over the billboards. 😷 https://t.co/FbjqPJVBDW",,mask,5-Jan-16
Sports,Sports Apparel,,RT @adidasoriginals: @Bpfillherup New #NMD and #YEEZYBOOST will be here soon enough. Your patience will be rewarded.,"NMD,YEEZYBOOST",,6-May-12
Sports,Cricket,,RT @RELATlONSHlP: that's what I call true love 😜❤️  https://t.co/StMRLH2N6Z,,"stuck_out_tongue_winking_eye,heart",23-Jul-15
Sports,Soccer,,RT @SundayShoutsFC: England's new national anthem. https://t.co/jux9W1TAbn,,,11-Aug-13
Sports,Sports News,,"RT @SportsCenter: Teammates most of the year.

Foes tonight.

Nothing but respect. https://t.co/stvdpXyU8Z",,,4-Feb-14
Sports,Soccer,,RT @MCFC: Congratulations to @LCFC on winning the Barclays @premierleague title. Well deserved. #mcfc,mcfc,,28-Dec-13
Sports,Paralympic Games,,RT @AmyPurdyGurl: Little photoshoot on the beach! Feels good to put my running blades back on! #runlikethewind https://t.co/4GW3Eitg79,runlikethewind,,13-Feb-13
Art and Entertainment,Movies and TV,,@lenadunham's gonna be on @FallonTonight! ✨💖 Okay.,,"sparkles,sparkling_heart",8-Dec-15
Sports,Baseball,,RT @JohnTory: Let's get our @BlueJays into the @MLB All-Star Game. Vote now: https://t.co/LZW1GZx8g8 …  #OurMoment https://t.co/F524YBnEho,OurMoment,,18-Apr-14
Sports,Mixed Martial Arts,,"RT @ufc: The BIG boys are up! #UFC200
@BrockLesnar vs @MarkHunt1974 https://t.co/gsz7YJrC3r",UFC200,,2-Mar-14
Sports,Formula 1,,RT @carolvorders: Hooray for Britain.....#AndyMurray and @LewisHamilton with UK based @MercedesAMGF1 too...😃🙃🖖👏👏👏👏👏👏,AndyMurray,"smiley,clap,clap,clap,clap,clap,clap",6-Jul-12
Sports,Motorcycling,,"RT @MotoGP: ""Please finish the race""

""I read Miller+0 and I thought about Silverstone with Crutchlow"" 🙈 @marcmarquez93 #DutchGP https://t.co/0LyuxsNVJK",DutchGP,see_no_evil,4-Feb-16
Art and Entertainment,Music,,RT @lights: Oh HI J https://t.co/0umijbW8Lp,,,8-Jun-15
Art and Entertainment,Social Media,,RT @PassionPosts: You gotta date someone you can have fun at a grocery store with.,,,11-Feb-14
Art and Entertainment,Music,,"RT @zakkcervini: Epic show from @5SOS tonight. Always makes me proud seeing you play, love you guys @Ashton5SOS @Calum5SOS @Luke5SOS @Michael5SOS",,,12-Apr-12
Sports,Wrestling,,"RT @maryse0uellet: #Repost @MsCharlotteWWE
・・・
Welcome to Hollywood, ESPYS here we come !!!! @ Los Angeles… https://t.co/XiILYkxfZT",Repost,,28-Dec-12
Sports,Basketball,,"RT @GoodmanESPN: Phoenix will take Dragan Bender, source told ESPN.",,,23-Dec-15
Sports,Wrestling,,"RT @SashaBanksWWE: Remember yourself as a little girl, she is counting on you to protect her. #RAW #WomensWrestling https://t.co/6mQYxWqbsD","RAW,WomensWrestling",,18-Jan-16
Art and Entertainment,Comedy,,RT @frankieboyle: At least this referendum will decide exactly which type of right-wing elitism turns us into microchipped prostitutes living in tent cities,,,30-Oct-15
Art and Entertainment,Music,,RT @billboard: Retweet to join @Halsey and 150+ artists in advocating common-sense gun safety #DisarmHate https://t.co/3TgrQKbshI https://t.co/HjFTMZe3GR,DisarmHate,,16-Aug-16
Art and Entertainment,Social Media,YouTube,RT @villalobossebas: Facebook https://t.co/kiB6k0EXkd,,,17-Jan-15
Art and Entertainment,Music,,"@FACTmag @FoolsGoldRecs @djhoodboi Whoa.  This is GOLD.
Someone is doing it RIGHT!",,,13-Sep-13
Art and Entertainment,Movies and TV,TV,"@GMB Good Morning Britain is so much better without Piers Morgan, he sits there drooling over @susannareid100 it's cringe tv 😞👎",,"disappointed,-1",31-Dec-12
Art and Entertainment,Music,,"RT @3LAU: Too many people take advantage and expect to get more

I prefer people who give back &amp; by force of nature, gain so much happiness in return.",,,17-Jun-16
Art and Entertainment,Social Media,YouTube,RT @BenPhillipsUK: Birthday Boom (Elliot blows up Nanas kitchen! Grandad looses his teeth! 😈😡)  https://t.co/MKY56xaUew like/share ASAP,,"smiling_imp,rage",1-Jan-15
Art and Entertainment,Music,,RT @socceraid: #SoccerAid ROW team have only gone and booked @NiallOfficial as Assistant Manager alongside Claudio Ranieri! https://t.co/lXyPi9KyHX,SoccerAid,,19-Aug-15
Art and Entertainment,Music,,.@kanyewest promised @BarackObama he would work with @Nas on his next album. https://t.co/iT7nJ3JQQX,,,18-Aug-12
Sports,Soccer,,"RT @ManUtd: We're celebrating five years of David De Gea today. 

Not many better saves than this one... #DaveSaves https://t.co/Us5xwQ6qFE",DaveSaves,,21-May-12
Art and Entertainment,Music,,RT @Michael5SOS: @Ashton5SOS HAPPY BIRFDAY I LOVE U,,,24-Oct-14
Art and Entertainment,Music,,"RT @radiodisney: This just in, @selenagomez just won at the #RDMA for #ShesTheOne—Best Female Artist! https://t.co/gmmmZPn94H","RDMA,ShesTheOne",,1-Apr-14
Art and Entertainment,Music,,"RT @greysonchance: Lyrics of the day: ""You've got blood on your lips cause the way that you fight. So much passion in you when you think that you're right.""",,,24-Aug-14
Sports,Soccer,,"RT @ChampionsLeague: Antoine Griezmann, Atlético forward: ""You need to learn from these things and come back stronger."" 💪 #UCLfinal https://t.co/jWl0SOb96u",UCLfinal,muscle,1-Jun-14
Art and Entertainment,Music,,RT @edsheeran: @ToriKelly @TheSims what the actual fuck,,,4-Jan-16
Art and Entertainment,Music,,RT @Harry_Styles: Just posted a photo https://t.co/z3ESUcXJSM,,,30-Jun-15
Art and Entertainment,Music,,RT @Harry_Styles: My love for all of you has no end. Thank you for tonight. H,,,4-Mar-12
Art and Entertainment,Movies and TV,TV,RT @ShawnMendes: You guys are the best ! @BBCR1 @claraamfo  @Chris_Stark @MattEdmondson  @gregjames  @grimmers #TrackOfTheDay 😊,TrackOfTheDay,blush,24-May-15
Art and Entertainment,Music News,,@Tha5SOSFamily trust me i am #VeranoMTV2016 5 Seconds of Summer,VeranoMTV2016,,17-Apr-15
Sports,Soccer,,RT @GaryLineker: Leicester City win the @premierleague by 10 points. That's 10 points folks.,,,14-Oct-13
Sports,Mixed Martial Arts,,"RT @MMAjunkie: Legacy FC 54 results: Lovato claims vacant belt, Todhunter retires undefeated https://t.co/NiPiPiB053",,,23-Jul-14
Sports,Golf,,RT @NiallOfficial: Perfect . My partner is @JustinRose99  https://t.co/9UGMDKDjT6,,,26-Apr-13
Sports,Soccer,,"@jimbeglin @LFC sorry to hear that Jim
Hope you are well by the way #LiverpoolLegend",LiverpoolLegend,,10-Nov-15
Art and Entertainment,Music,,"my love for you has no depth, its boundaries are ever-expanding
@Harry_Styles you're special to me in every way.mind following me? 😍Xx11",,heart_eyes,5-Feb-13
Art and Entertainment,Music,,RT @Ashton5SOS: @ashpoppin hell 3 tha no,,,22-Jul-15
Sports,Soccer,,RT @SergioRamos: Congratulations to Portugal and my friends @officialpepe and @cristiano who succeed us as #Euro champions,Euro,,4-Oct-13
Art and Entertainment,Social Media,,"RT @Iifepost: ""dark lipstick makes you look intimidating""

good. stay the hell away from me.",,,23-Aug-15
Art and Entertainment,Music,,@claraamfo So excited for @MNEK live lounge on @BBCR1 loving this interview so far! ❤️😃👍🏻😊🙌🏻🎤🎶,,"heart,smiley,+1,blush,raised_hands,microphone,notes",26-Apr-13
Art and Entertainment,Music,,@NiallOfficial  Good Luck!!!,,,19-Sep-15
Art and Entertainment,Music,,"RT @troyesivan: Thank you for a really, really fun night Hamburg. I didn't puke tonight so I'm real happy bout that but you guys were amazing too",,,17-Jun-14
Sports,Gymnastics,,"RT @NBCOlympics: Want to know how Olympic medals get made? 

Here are the #Rio2016 medals! 🏅 

(via @Rio2016_en) https://t.co/9zp44DhXFX",Rio2016,,25-Jul-14
Art and Entertainment,Social Media,,"RT @FIirtationship: ""No babe I don't want anything"" https://t.co/L0AskVRHTV",,,27-May-12
Sports,Football,,@MarkIngram22 @CRO31 any chance for a follow back? #ArmorUp EPH 6:11,ArmorUp,,28-Apr-15
Art and Entertainment,Movies and TV,Movies,RT @thesecret: When you close your eyes and you visualize having money and imagine doing all the things you… https://t.co/DHPw6eujOD,,,10-May-15
Sports,Cricket,,RT @RELATlONSHlP: having long hair is the most annoying and wonderful thing ever,,,24-Aug-14
Art and Entertainment,Radio,,"@RadioX seeing as my mum is forcing me to listen-Could you please play Dance,Dance by Fall out boy -Charlotte 13",,,28-Jan-14
Sports,Sports News,,@TeleFootball @ChelseaFC #CFC WE WANT HIM TO STAY !!!!!!!!!,CFC,,8-Jan-12
Art and Entertainment,Radio,,"RT @Angus_OL: WE HAVE AN UPDATE!

Has @Real_Liam_Payne contacted @TheHit30?

Will we be playing #ProjectHome 9:15pm?

Will @Louis_Tomlinson get involved?",ProjectHome,,7-Apr-14
Art and Entertainment,Movies and TV,,"RT @BRANDONWARDELL: . @lenadunham 

BRANDON walks into coffee shop wearing fuckin sick shades

RAY
this guy is 2 fuckin cool i hate him

JESSA
i think he's hot",,,21-Feb-14
Art and Entertainment,Music,,RT @Kadifer93: @DeltaGoodrem 😂 Yaaaas! feel free to join me while you're in Brisbane 💁🏼,,"joy,information_desk_person",3-May-13
Art and Entertainment,Music,,Would kill to be there watching @Meghan_Trainor at #BigWeekend right now! 👄👌@BBCR1,BigWeekend,"lips,ok_hand",11-Nov-14
Sports,Wrestling,,"RT @andyblack: Coming this Sunday @WWE pay per view event ""PAYBACK"" at 8PM ET featuring my single #WDHTD as the official theme!! https://t.co/iIQsXD9ULL",WDHTD,,10-Mar-14
Sports,Soccer,,"RT @UEFAEURO: And the winning penalty, @07RQuaresma 👏
#EURO2016 https://t.co/E9sixgtMjT",EURO2016,clap,26-Jun-12
Sports,Football,,"@JOEL9ONE I'm from the UK, I'm pretty sure I can get a XXL one for you 👌🏽",,ok_hand,12-Jan-12
Sports,Basketball,,RT @KevinHart4real: I'm close to all of these players and they are extreme competitors....They are what makes the NBA great. @KDTrey5 &amp; @russwest44 are da shit,,,25-Aug-13
Art and Entertainment,Music,,RT @camilacabello97: 3 DAYS TILL FINDING DORY COMES OUT,,,7-Jul-13
Art and Entertainment,Music,,RT @JackJ: It changed my life forever  https://t.co/z7skXCtyZ2,,,9-Sep-12
Sports,Soccer,,RT @celticfc: Kieran Tierney is Scotland's Young Player of the Year https://t.co/ZUgu04oMym (NM) https://t.co/Le3e5IyBUd,,,14-Aug-16
Art and Entertainment,Music,,"RT @GolfChannel: .@NiallOfficial has become a great golf ambassador, still 'very nervous' for @BMWPGA Pro-Am: https://t.co/PzvVoJDOrX https://t.co/152A4s4jyi",,,4-Jul-14
Art and Entertainment,,,"RT @Nashgrier: Iconic
https://t.co/QTN7Aj5Tts",,,12-Oct-13
Sports,Basketball,,RT @warriors: Mo #SPLASH on ABC https://t.co/IEgKZAhO1B,SPLASH,,30-Mar-14
Sports,Soccer,,RT @mrpaulhank: Wow ! What a result lasses !! Get in ! @SFCLadies @Sheffieldfc #iloves #sheffieldissuper  https://t.co/29YSN7oKA6,"iloves,sheffieldissuper",,21-Nov-13
Art and Entertainment,Music,,RT @LaurenJauregui: It's ma birthdayyy☺️☺️,,"relaxed,relaxed",18-Apr-15
Art and Entertainment,Movies and TV,TV,Watching @mtvgeordieshore and @Chloe_GShore your outfit was on point with them chicken nuggets. 😍😂❤️ @Chloe_GShore,,"heart_eyes,joy,heart",12-Mar-13
Art and Entertainment,Music,,RT @NiallOfficial: And saying the worst things ever about my little nephew. Thank god I'm not the kind of person who thinks into stuff like this,,,30-Mar-12
Art and Entertainment,Music,,RT @lizhem65: Missing @Luke5SOS and the @5sos boys I will have to get to a gig again soon. Looks like Europe has been fun https://t.co/Uw5LrxlAjI,,,1-Feb-14
Sports,Soccer,,RT @LFC: And that's all for matches at Anfield for this season! Here's how we fared at home in 2015/16... https://t.co/w3VnBSzWZP,,,14-Nov-12
Sports,Tennis,,"@milosraonic Thanks for taking us fans on a great ride, man! It's only a matter of time!",,,6-Jul-12
